Dish_Name,Cuisine_Type,Veg_Non,Describe,Spice_Level,Sugar_Level,Dish_Category,Food_ID,Weather_Type
Pork schnitzel with tarragon cream sauce,German,Non-Vegetarian,"The recipe Pork schnitzel with tarragon cream sauce can be made <b>in roughly 45 minutes</b>. This recipe serves 2 and costs $3.92 per serving. One serving contains <b>1070 calories</b>, <b>56g of protein</b>, and <b>78g of fat</b>. It is brought to you by Foodista. Not a lot of people really liked this European dish. This recipe is liked by 4 foodies and cooks. It works well as a main course. If you have cornstarch, breadcrumbs, vegetable stock from, and a few other ingredients on hand, you can make it. Taking all factors into account, this recipe <b>earns a spoonacular score of 53%</b>, which is good. Similar recipes are <a href=""https://spoonacular.com/recipes/pork-medallions-with-tarragon-cream-sauce-1573407"">Pork Medallions with Tarragon Cream Sauce</a>, <a href=""https://spoonacular.com/recipes/pork-schnitzel-with-sauce-389086"">Pork Schnitzel with Sauce</a>, and <a href=""https://spoonacular.com/recipes/pork-schnitzel-with-lemon-caper-cream-99629"">Pork Schnitzel With Lemon-Caper Cream</a>.",4,5,"lunch, main course, main dish, dinner",1,Cold
Minestrone Soup,Mediterranean,Non-Vegetarian,"You can never have too many main course recipes, so give Minestrone Soup a try. For <b>$2.03 per serving</b>, this recipe <b>covers 23%</b> of your daily requirements of vitamins and minerals. One serving contains <b>356 calories</b>, <b>20g of protein</b>, and <b>16g of fat</b>. This recipe serves 8. It is perfect for <b>Autumn</b>. 14 people have made this recipe and would make it again. It is a <b>reasonably priced</b> recipe for fans of Mediterranean food. Head to the store and pick up vegetable stock, tomatoes into 8ths, salt and pepper, and a few other things to make it today. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. It is brought to you by Foodista. Overall, this recipe earns a <b>solid spoonacular score of 69%</b>. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/minestrone-soup-1202731"">Minestrone Soup</a>, <a href=""https://spoonacular.com/recipes/minestrone-soup-1687455"">Minestrone Soup</a>, and <a href=""https://spoonacular.com/recipes/minestrone-soup-31875"">Minestrone Soup</a>.",4,3,"lunch, soup, main course, main dish, dinner",2,Cold
Black Bean Garlic Shrimp Scramble,Unknown,Non-Vegetarian,"You can never have too many breakfast recipes, so give Black Bean Garlic Shrimp Scramble a try. This recipe serves 2. Watching your figure? This dairy free, pescatarian, and ketogenic recipe has <b>376 calories</b>, <b>16g of protein</b>, and <b>30g of fat</b> per serving. For <b>$1.51 per serving</b>, this recipe <b>covers 18%</b> of your daily requirements of vitamins and minerals. If you have shrimp, canolan oil, fried garlic, and a few other ingredients on hand, you can make it. 2 people found this recipe to be yummy and satisfying. It is brought to you by Foodista. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 47%</b>. This score is solid. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/black-bean-garlic-shrimp-scramble-1395917"">Black Bean Garlic Shrimp Scramble</a>, <a href=""https://spoonacular.com/recipes/clean-eating-garlic-shrimp-with-black-bean-noodles-1299325"">Clean Eating Garlic Shrimp with Black Bean Noodles</a>, and <a href=""https://spoonacular.com/recipes/clean-eating-garlic-shrimp-with-black-bean-noodles-626270"">Clean Eating Garlic Shrimp with Black Bean Noodles</a>.",0,5,"morning meal, brunch, breakfast",3,Rainy
"Spring Greens With Pears, Sugared Walnuts & Gorgonzola",Unknown,Vegetarian,"Spring Greens With Pears, Sugared Walnuts & Gorgonzolan is a <b>gluten free and lacto ovo vegetarian</b> recipe with 6 servings. For <b>$2.19 per serving</b>, this recipe <b>covers 12%</b> of your daily requirements of vitamins and minerals. One serving contains <b>362 calories</b>, <b>12g of protein</b>, and <b>27g of fat</b>. This recipe is liked by 3 foodies and cooks. It works best as a side dish, and is done in approximately <b>45 minutes</b>. <b>Spring</b> will be even more special with this recipe. If you have ground mustard, salt, sugar, and a few other ingredients on hand, you can make it. It is brought to you by Foodista. With a spoonacular <b>score of 50%</b>, this dish is pretty good. Try <a href=""https://spoonacular.com/recipes/endive-salad-with-walnuts-pears-and-gorgonzola-157059"">Endive Salad with Walnuts, Pears, and Gorgonzola</a>, <a href=""https://spoonacular.com/recipes/whole-wheat-pasta-with-pears-walnuts-and-gorgonzola-cheese-226405"">Whole Wheat Pasta with Pears, Walnuts and Gorgonzola Cheese</a>, and <a href=""https://spoonacular.com/recipes/gorgonzola-dolce-with-roasted-pears-and-spiced-walnuts-597472"">Gorgonzola Dolce with Roasted Pears and Spiced Walnuts</a> for similar recipes.",3,0,side dish,4,Cold
Steamed Artichokes With Roasted Red Pepper Aioli,Unknown,Vegetarian,"You can never have too many side dish recipes, so give Steamed Artichokes With Roasted Red Pepper Aioli a try. This recipe makes 4 servings with <b>220 calories</b>, <b>7g of protein</b>, and <b>15g of fat</b> each. For <b>$2.02 per serving</b>, this recipe <b>covers 17%</b> of your daily requirements of vitamins and minerals. This recipe from Foodista has 4 fans. Head to the store and pick up artichokes, cayenne pepper, salt, and a few other things to make it today. It is a good option if you're following a <b>gluten free, dairy free, lacto ovo vegetarian, and whole 30</b> diet. From preparation to the plate, this recipe takes around <b>45 minutes</b>. Taking all factors into account, this recipe <b>earns a spoonacular score of 49%</b>, which is pretty good. Similar recipes include <a href=""https://spoonacular.com/recipes/roasted-red-pepper-pesto-parmesan-stuffed-artichokes-with-5-minute-red-pepper-hollandaise-528389"">Roasted Red Pepper Pesto Parmesan Stuffed Artichokes with 5 Minute Red Pepper Hollandaise</a>, <a href=""https://spoonacular.com/recipes/steamed-artichokes-with-cheats-aioli-28449"">Steamed Artichokes With Cheat’s Aioli</a>, and <a href=""https://spoonacular.com/recipes/steamed-artichokes-garlic-aioli-28518"">Steamed Artichokes + Garlic Aioli</a>.",3,0,side dish,5,Hot
Healthy Vegan Red Velvet Brownies,American,Vegetarian,"Healthy Vegan Red Velvet Brownies is a dessert that serves 8. For <b>42 cents per serving</b>, this recipe <b>covers 8%</b> of your daily requirements of vitamins and minerals. Watching your figure? This gluten free, dairy free, lacto ovo vegetarian, and vegan recipe has <b>181 calories</b>, <b>5g of protein</b>, and <b>5g of fat</b> per serving. A mixture of baking soda, salt, ground flaxseed, and a handful of other ingredients are all it takes to make this recipe so tasty. 91 person found this recipe to be scrumptious and satisfying. A few people really liked this American dish. It is brought to you by Foodista. It is perfect for <b>valentin day</b>. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. Taking all factors into account, this recipe <b>earns a spoonacular score of 69%</b>, which is good. <a href=""https://spoonacular.com/recipes/healthy-vegan-red-velvet-brownies-1356247"">Healthy Vegan Red Velvet Brownies</a>, <a href=""https://spoonacular.com/recipes/healthy-red-velvet-quinoa-brownies-735043"">Healthy Red Velvet Quinoa Brownies</a>, and <a href=""https://spoonacular.com/recipes/healthy-red-velvet-quinoa-brownies-1241803"">Healthy Red Velvet Quinoa Brownies</a> are very similar to this recipe.",1,0,dessert,6,Rainy
South Carolina Style Pulled Pork,American,Non-Vegetarian,"The recipe South Carolina Style Pulled Pork is ready <b>in roughly 45 minutes</b> and is definitely an amazing <b>gluten free and dairy free</b> option for lovers of American food. One serving contains <b>692 calories</b>, <b>48g of protein</b>, and <b>21g of fat</b>. This recipe serves 10. For <b>$3.19 per serving</b>, this recipe <b>covers 36%</b> of your daily requirements of vitamins and minerals. 3 people were glad they tried this recipe. Not a lot of people really liked this main course. If you have apple cider vinegar, ground cumin, garlic, and a few other ingredients on hand, you can make it. It is brought to you by Foodista. With a spoonacular <b>score of 81%</b>, this dish is awesome. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/north-carolina-style-pulled-pork-458007"">North Carolina-Style Pulled Pork</a>, <a href=""https://spoonacular.com/recipes/carolina-style-pulled-pork-sliders-1344539"">Carolina Style Pulled Pork Sliders</a>, and <a href=""https://spoonacular.com/recipes/carolina-style-pulled-pork-sandwiches-714634"">Carolina-Style Pulled Pork Sandwiches</a>.",4,3,"lunch, main course, main dish, dinner",7,Rainy
HomeMade Hashbrowns with Spinach and Carrots,Unknown,Vegetarian,"Need a <b>gluten free, dairy free, lacto ovo vegetarian, and vegan side dish</b>? HomeMade Hashbrowns with Spinach and Carrots could be a great recipe to try. One portion of this dish contains around <b>5g of protein</b>, <b>0g of fat</b>, and a total of <b>193 calories</b>. This recipe serves 3 and costs 42 cents per serving. It is brought to you by Foodista. 2 people have made this recipe and would make it again. If you have potatoes, chilli powder, onion, and a few other ingredients on hand, you can make it. From preparation to the plate, this recipe takes roughly <b>35 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 94%</b>. This score is great. <a href=""https://spoonacular.com/recipes/homemade-hashbrowns-with-spinach-and-carrots-1434199"">HomeMade Hashbrowns with Spinach and Carrots</a>, <a href=""https://spoonacular.com/recipes/homemade-hashbrowns-with-spinach-and-carrots-1624079"">HomeMade Hashbrowns with Spinach and Carrots</a>, and <a href=""https://spoonacular.com/recipes/homemade-hashbrowns-with-spinach-and-carrots-1364593"">HomeMade Hashbrowns with Spinach and Carrots</a> are very similar to this recipe.",3,0,side dish,8,Cold
My Asian Fried Fish Fillet,Asian,Non-Vegetarian,"My Asian Fried Fish Fillet is a <b>gluten free, dairy free, and pescatarian</b> recipe with 6 servings. One serving contains <b>355 calories</b>, <b>20g of protein</b>, and <b>4g of fat</b>. For <b>$2.0 per serving</b>, this recipe <b>covers 12%</b> of your daily requirements of vitamins and minerals. It works well as an Asian main course. 3 people have made this recipe and would make it again. Head to the store and pick up all spice, corn flour, eggs, and a few other things to make it today. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. It is brought to you by Foodista. All things considered, we decided this recipe <b>deserves a spoonacular score of 38%</b>. This score is not so outstanding. Similar recipes are <a href=""https://spoonacular.com/recipes/pan-fried-fish-fillet-hong-kong-style-1248915"">Pan Fried Fish Fillet (Hong Kong Style)</a>, <a href=""https://spoonacular.com/recipes/pan-fried-fish-fillet-hong-kong-style-526247"">Pan Fried Fish Fillet (Hong Kong Style)</a>, and <a href=""https://spoonacular.com/recipes/fish-fillet-with-rosemary-85849"">Fish Fillet with Rosemary</a>.",1,3,"lunch, main course, main dish, dinner",9,Hot
Fluffy frittata with spinach,Unknown,Non-Vegetarian,"If you have about <b>45 minutes</b> to spend in the kitchen, Fluffy frittata with spinach might be an outstanding <b>gluten free, primal, and ketogenic</b> recipe to try. One portion of this dish contains about <b>20g of protein</b>, <b>20g of fat</b>, and a total of <b>281 calories</b>. For <b>$1.48 per serving</b>, this recipe <b>covers 26%</b> of your daily requirements of vitamins and minerals. This recipe serves 4. It is brought to you by Foodista. Head to the store and pick up ricotta cheese, salt, nutmeg, and a few other things to make it today. It works well as a budget friendly main course. 7 people have made this recipe and would make it again. Overall, this recipe earns a <b>solid spoonacular score of 72%</b>. Similar recipes include <a href=""https://spoonacular.com/recipes/fluffy-bacon-cheese-frittata-147451"">Fluffy Bacon-Cheese Frittata</a>, <a href=""https://spoonacular.com/recipes/fluffy-gluten-free-spinach-cheese-biscuits-682018"">Fluffy Gluten Free Spinach Cheese Biscuits</a>, and <a href=""https://spoonacular.com/recipes/fluffy-light-yummy-spinach-blue-cheese-souffle-427654"">Fluffy, Light & Yummy: Spinach & Blue Cheese Souffle</a>.",0,0,"lunch, main course, morning meal, brunch, main dish, breakfast, dinner",10,Rainy
