User_ID,Age,Gender,Dietary_Preferences,Allergies
1,Adult,Other,Gluten-Free,"Shellfish, Nuts, Eggs"
2,Senior,Other,Non-Vegetarian,"Dairy, Soy, Eggs"
3,Teen,Other,Keto,
4,Adult,Female,Gluten-Free,"None, Gluten"
5,Teen,Other,Paleo,"Shellfish, Gluten"
6,Adult,Male,Keto,
7,Teen,Male,Gluten-Free,"Gluten, Soy"
8,Child,Other,Non-Vegetarian,"Dairy, Soy, Gluten"
9,Adult,Other,Vegetarian,"Nuts, Shellfish, Gluten"
10,Senior,Female,Vegetarian,
11,Senior,Female,Dairy-Free,"None, Dairy, Nuts"
12,Teen,Female,Gluten-Free,"Shellfish, Nuts"
13,Teen,Other,Gluten-Free,
14,Senior,Other,Paleo,"Eggs, Nuts"
15,Child,Female,Dairy-Free,
16,Adult,Male,Paleo,
17,Adult,Male,Vegan,"Dairy, Soy"
18,Teen,Other,Non-Vegetarian,Dairy
19,Child,Male,Dairy-Free,"Shellfish, Eggs"
20,Adult,Female,Vegetarian,
21,Child,Male,Non-Vegetarian,
22,Adult,Female,Gluten-Free,"Soy, Eggs, None"
23,Adult,Male,Dairy-Free,"Eggs, Shellfish"
24,Senior,Male,Vegetarian,"Eggs, Gluten"
25,Teen,Female,Gluten-Free,"Soy, Eggs, None"
26,Adult,Female,Keto,"Dairy, Soy"
27,Child,Other,Gluten-Free,"Soy, Dairy, Nuts"
28,Senior,Female,Keto,Nuts
29,Teen,Other,Non-Vegetarian,"Gluten, Eggs"
30,Teen,Other,Gluten-Free,
31,Adult,Female,Non-Vegetarian,"Shellfish, None, Soy"
32,Senior,Other,Dairy-Free,"Soy, Nuts"
33,Teen,Male,Vegan,
34,Child,Other,Keto,"None, Gluten, Nuts"
35,Senior,Female,Vegan,"Dairy, Gluten"
36,Adult,Male,Non-Vegetarian,
37,Adult,Male,Keto,"Shellfish, Soy"
38,Adult,Other,Gluten-Free,"Soy, Dairy, Gluten"
39,Child,Female,Gluten-Free,"None, Soy, Dairy"
40,Senior,Female,Keto,
41,Adult,Female,Vegetarian,"Eggs, None"
42,Teen,Male,Non-Vegetarian,None
43,Adult,Male,Paleo,Eggs
44,Teen,Female,Keto,"Soy, Dairy"
45,Child,Other,Vegetarian,
46,Senior,Female,Vegan,"Shellfish, Nuts, Soy"
47,Teen,Female,Dairy-Free,Dairy
48,Teen,Female,Dairy-Free,Nuts
49,Teen,Female,Dairy-Free,Dairy
50,Senior,Other,Vegetarian,Shellfish
51,Adult,Male,Keto,
52,Adult,Other,Gluten-Free,
53,Adult,Female,Dairy-Free,
54,Child,Male,Keto,Nuts
55,Child,Female,Vegetarian,"Gluten, Nuts"
56,Adult,Female,Gluten-Free,Dairy
57,Adult,Female,Paleo,
58,Teen,Female,Vegan,"Gluten, Dairy, Shellfish"
59,Senior,Female,Keto,"Soy, Gluten"
60,Senior,Other,Non-Vegetarian,"Dairy, Shellfish, Gluten"
61,Child,Female,Dairy-Free,"None, Eggs, Dairy"
62,Adult,Male,Gluten-Free,"Dairy, None, Soy"
63,Child,Male,Keto,"Shellfish, Dairy, Nuts"
64,Child,Male,Dairy-Free,"Dairy, Shellfish, None"
65,Child,Male,Keto,
66,Adult,Female,Gluten-Free,Dairy
67,Adult,Other,Vegan,"Nuts, Gluten, Soy"
68,Senior,Female,Paleo,
69,Senior,Female,Vegan,None
70,Senior,Female,Keto,"Eggs, Gluten"
71,Adult,Male,Vegan,Shellfish
72,Teen,Other,Paleo,"None, Dairy"
73,Teen,Other,Gluten-Free,
74,Senior,Other,Vegetarian,
75,Senior,Male,Keto,Dairy
76,Senior,Female,Vegan,"Soy, Nuts, None"
77,Teen,Other,Gluten-Free,
