User_ID,Weather_Type,Spice_Preference,Sugar_Preference,Meal_Type,Recent_Dislikes
1,Cold,9,6,Dinner,"Sugar Cookies, Tomato and lentil soup, Roasted Acorn Squash Stuffed with spicy Biryani (Veg/vegan), Italian Beef Braciole"
1,Hot,0,0,Breakfast,"How to Make the Ultimate Christmas Fruit Pizza, Vanilla and Lime Flan By Esperanza Platas Alvarez (Planet Food Mexico), Fried String Cheese Sticks"
1,Rainy,10,6,Dinner,
1,Humid,10,8,Lunch,"Butterscotch Pie, Warm Lemon Poppy Seed Cake With Chocolate Ganache Center, Jalapeno Cheese Quick Bread, Tuna Stuffed Hard-Boiled Eggs, Chapchae (Korean Stir-Fried Noodles)"
1,Windy,4,5,Dinner,"Green Tea Fruit Medley Smoothie, South Carolina Style Pulled Pork, Fluffy frittata with spinach, Dad’s Breakfast Polenta"
2,Cold,6,3,Breakfast,"Naturally Sweet Apple Turnovers, Minestrone Soup"
2,Hot,0,1,Lunch,Chicken Farfalle with Low-Fat Alfredo Sauce
2,Rainy,10,4,Breakfast,"Baked Sirloin Steak, Honeyed Bacon"" Baklava, Strawberry-Mango Quinoa Salad, Vanilla Bean Melting Moment Cookies With Caramel Filling"
2,Humid,0,8,Lunch,Warm Lemon Poppy Seed Cake With Chocolate Ganache Center
2,Windy,3,5,Dinner,"Sweet & Spicy White Cheddar Cheese Ball with apples & Bacon, Warm Lemon Poppy Seed Cake With Chocolate Ganache Center"
3,Cold,3,2,Breakfast,Roasted Acorn Squash Stuffed with spicy Biryani (Veg/vegan)
3,Hot,6,1,Lunch,
3,Rainy,0,6,Breakfast,"Brussels Sprout Carbonara with Fettuccini, Blueberry Basil Galette"
3,Humid,9,3,Lunch,"Salmon with roasted vegetables, Healthy Vegan Red Velvet Brownies, Chapchae (Korean Stir-Fried Noodles), Amaretto Almond Cookies, Shrimp & Crab Egg Rolls"
3,Windy,5,7,Breakfast,"Easy Pork Chops on Stuffing, Cajun Seafood and Andouille Sausage Gumbo, Chicken and White Bean Chili, Healthy Orange Chicken"
4,Cold,9,3,Dinner,"Cajun Seafood and Andouille Sausage Gumbo, Salmon with roasted vegetables, Tomato and Eggplant Caponata, Watermelon Popsicles with Mint, Basil & Lime"
4,Hot,7,5,Breakfast,Healthy Orange Chicken
4,Rainy,9,1,Dinner,Delicious Sausage & Peppers
4,Humid,4,3,Breakfast,"Chicken Farfalle with Low-Fat Alfredo Sauce, Chocolatey Overnight Oats with Strawberries, Black Bean Garlic Shrimp Scramble"
4,Windy,5,3,Lunch,Roasted Asparagus With Bacon and Feta Cheese
5,Cold,0,0,Lunch,"Healthy Mint Brownies, Spare Ribs, Quinoa and Chickpea Salad with Sun-Dried Tomatoes and Dried Cherries, Rice Stuffed Bell Peppers (Zeytinyagli Biber Dolmasi)"
5,Hot,0,3,Lunch,"Steamed Artichokes With Roasted Red Pepper Aioli, Amaretto Almond Cookies, Authentic Italian Biscotti, Pork schnitzel with tarragon cream sauce"
5,Rainy,9,8,Dinner,"Wholemeal Steam Bun, Homemade Muesli Breakfast Cereal, My Asian Fried Fish Fillet"
5,Humid,2,0,Dinner,"Nutella Buttercream Cupcakes with Hidden Cadbury Egg, South Carolina Style Pulled Pork, Butterscotch Pie, Cheese Pork Chops, Black Bean Garlic Shrimp Scramble"
5,Windy,8,6,Lunch,"Creamy Mushroom Soup ~ with a “Kick”, Healthy Mint Brownies, Blueberry Basil Galette, Steamed Artichokes With Roasted Red Pepper Aioli"
6,Cold,4,5,Lunch,"Delicious Rhubarb Custard Pie, Green Tea Fruit Medley Smoothie, Yoghurt Honey Madeleines"
6,Hot,10,1,Dinner,"Minestrone Soup, Delicious Rhubarb Custard Pie, Chapchae (Korean Stir-Fried Noodles)"
6,Rainy,1,3,Dinner,Healthy Mint Brownies
6,Humid,2,4,Dinner,"Almond Rainbow Cake, Amaretto Almond Cookies, Artisan Farfalle Pasta With Smoked Salmon and Cream Sauce, Smooth Bloody Mary, Green Tea Fruit Medley Smoothie"
6,Windy,7,4,Breakfast,Wholemeal Steam Bun
7,Cold,1,2,Breakfast,"Soy Ginger Glazed Halibut with Ginger Peach Relish, Chocoholic's Deep Dark Dream Chiffon Cake, Alouette Chicken Paprika, Butterscotch Pie"
7,Hot,9,1,Lunch,"Creamy Mushroom Soup ~ with a “Kick”, Oven-Baked Feta Cheese Dip, Pork schnitzel with tarragon cream sauce, Dutch Baby, Healthy Orange Chicken"
7,Rainy,5,4,Breakfast,"Frittata with Mushrooms, Thyme, and Parmigiano Cheese, Delicious Rhubarb Custard Pie, Pork schnitzel with tarragon cream sauce, Vanilla Bean Melting Moment Cookies With Caramel Filling, Royal Wedding Pear and Coriander Scones"
7,Humid,5,10,Dinner,"Shrimp and Lemongrass Soup, Coconut Cream Pie Vegan Milkshake, Fried String Cheese Sticks, My Asian Fried Fish Fillet"
7,Windy,0,0,Dinner,Chocoholic's Deep Dark Dream Chiffon Cake
8,Cold,10,1,Lunch,"Spicy Coconut French Toast, Easy Pork Chops on Stuffing, Green Tea Fruit Medley Smoothie, Crockpot Applesauce, Sweet Potato, Kale & White Bean Soup"
8,Hot,6,7,Lunch,Delicious Rhubarb Custard Pie
8,Rainy,3,10,Breakfast,"South Carolina Style Pulled Pork, Chapchae (Korean Stir-Fried Noodles), Cajun Seafood and Andouille Sausage Gumbo, Classic Buttermilk Pie"
8,Humid,3,9,Breakfast,"Almond Rainbow Cake, Dutch Baby"
8,Windy,4,1,Lunch,"Delicious Sausage & Peppers, South Carolina Style Pulled Pork, Oven-Baked Feta Cheese Dip"
9,Cold,1,0,Breakfast,"Royal Wedding Pear and Coriander Scones, Chimichurri, South Carolina Style Pulled Pork, Red, White & Blue Crepes: Happy July 4th! @driscollsberry"
9,Hot,9,6,Dinner,"Steamed Artichokes With Roasted Red Pepper Aioli, Dutch Baby, Lamb In Red Mole Sauce, Chicken Farfalle with Low-Fat Alfredo Sauce"
9,Rainy,3,5,Dinner,"Roasted Acorn Squash Stuffed with spicy Biryani (Veg/vegan), Braised Chicken with Artichoke Hearts & Olives, Rice Stuffed Bell Peppers (Zeytinyagli Biber Dolmasi), Avocado and Orange Salad With Orange-Ginger Dressing, Minestrone Soup"
9,Humid,5,10,Dinner,
9,Windy,3,2,Lunch,"Sweet & Spicy White Cheddar Cheese Ball with apples & Bacon, Beef With Oranges and Spices, Artisan Farfalle Pasta With Smoked Salmon and Cream Sauce"
10,Cold,1,4,Breakfast,"Lemon Delicious, Yoghurt Honey Madeleines, Roasted Acorn Squash Stuffed with spicy Biryani (Veg/vegan), Avocado and Orange Salad With Orange-Ginger Dressing, Sweet Potato, Kale & White Bean Soup"
10,Hot,4,6,Breakfast,Carrot and Coriander Soup
10,Rainy,6,4,Dinner,"Braised Chicken with Artichoke Hearts & Olives, Cajun Potato Wedges, Cheesy Chicken Enchilada Quinoa Casserole, Crockpot Applesauce"
10,Humid,9,10,Lunch,
10,Windy,5,3,Breakfast,"Honeyed Bacon"" Baklava, A Refreshing Drink To Welcome You All, Zucchini Flutes Piped With Basil Ricotta Mousse, Creamy Mushroom Soup ~ with a “Kick”"
11,Cold,9,2,Breakfast,Pork schnitzel with tarragon cream sauce
11,Hot,5,0,Breakfast,"Tuna Stuffed Hard-Boiled Eggs, Quick Chicken Enchilada Soup"
11,Rainy,3,4,Lunch,"How to Make the Ultimate Christmas Fruit Pizza, Roasted Asparagus With Bacon and Feta Cheese, Roasted Acorn Squash Stuffed with spicy Biryani (Veg/vegan), Dutch Baby, Spicy Coconut French Toast"
11,Humid,9,10,Dinner,"Pasta With Salmon Cream Sauce, Shrimp & Crab Egg Rolls"
11,Windy,3,6,Lunch,"Dairy Free Chicken Salad, Strawberry-Mango Quinoa Salad, Ground Turkey Stuffed Peppers, Artisan Farfalle Pasta With Smoked Salmon and Cream Sauce"
12,Cold,9,0,Lunch,
12,Hot,5,4,Dinner,"Easy Shepherd's Pie (Beef And/or Lamb Combo), Steamed Artichokes With Roasted Red Pepper Aioli"
12,Rainy,3,6,Dinner,Fried String Cheese Sticks
12,Humid,7,10,Breakfast,"Shrimp and Lemongrass Soup, Beef With Oranges and Spices, One Bowl Jalapeno Cheddar Cornbread"
12,Windy,7,10,Lunch,
13,Cold,7,5,Lunch,"Wholemeal Steam Bun, Naturally Sweet Apple Turnovers, Roasted Acorn Squash Stuffed with spicy Biryani (Veg/vegan)"
13,Hot,4,8,Breakfast,Green Tea Fruit Medley Smoothie
13,Rainy,5,0,Breakfast,
13,Humid,4,4,Breakfast,
13,Windy,0,1,Lunch,Fluffy frittata with spinach
